id;parent;date;screen_name;followers;location;country
124278412;124145241;27/11/15 00:25;PilarAlonso86;13;Murcia, Regi—n de Murcia;es
124278411;124145241;27/11/15 00:29;amparo_gonzales;355;Espa–a;es
124278410;124145241;27/11/15 00:35;angsimpa;2705;not public;es
124278409;124145241;27/11/15 00:41;karolina_fina;1558;not public;es
124278408;124145241;27/11/15 00:42;Doblerron;708;San Sebasti‡n-Donostia- Espa–a;es
124278407;124145241;27/11/15 00:43;ChrstiIvn;399;Bœscame y me encontrar‡s. O no;es
124278406;124145241;27/11/15 00:43;RigbyMola;255;not public;es
124278405;124145241;27/11/15 00:55;helenrodlo;56;not public;es
124278404;124145241;27/11/15 00:59;Notododepende;157;Madrid;es
124278403;124145241;27/11/15 01:00;Isabel_amanecer;1897;not public;es
124278402;124145241;27/11/15 01:10;CarmenC07182975;1254;not public;es
124278401;124145241;27/11/15 01:11;prespiputa;788;not public;es
124303099;124145241;27/11/15 01:16;GuilleCT1987;290;Cartagena, Regi—n de Murcia;es
124303098;124145241;27/11/15 01:16;Sangre13;102;Cartagena, Murcia;es
124303097;124145241;27/11/15 01:18;Tony__Jimenez;1940;Chicago;es
124303096;124145241;27/11/15 01:22;Cisco_JC;88;not public;es
124303095;124145241;27/11/15 01:36;ElenaBule;1276;Madrid, Spain;es
124288984;124145241;27/11/15 01:38;amparo_gonzales;355;Espa–a;es
124288984;124145241;27/11/15 01:38;amparo_gonzales;355;Espa–a;es
124288985;124145241;27/11/15 01:40;amparo_gonzales;355;Espa–a;es
124288986;124145241;27/11/15 01:41;amparo_gonzales;355;Espa–a;es
124303094;124145241;27/11/15 01:42;rikote;24256;www.boomerangtv.com;es
124303093;124145241;27/11/15 02:09;xavimatas12;404;El Masnou, Catalunya;es
124351557;124145241;27/11/15 02:34;jonsusicania;177;not public;es
124351556;124145241;27/11/15 02:47;Lukix4you;21;not public;es
124326336;124145241;27/11/15 02:55;LSTLM;74;Bilbao, Pa’s Vasco;es
124351555;124145241;27/11/15 04:32;angelzabala76;345;De Madrid a M_xico.;es
124344016;124145241;27/11/15 04:43;IMPECABLE10;350;not public;es
124344015;124145241;27/11/15 05:08;laritisima;285;Girona, Catalunya;es
124351458;124145241;27/11/15 05:56;LianaEHE;1252;not public;es
124351457;124145241;27/11/15 06:00;masdespistao;5;not public;es
124363068;124145241;27/11/15 06:47;gmargenatp;505;Catalunya;es
124363067;124145241;27/11/15 06:52;Guilhelmdaran;242;Catalunya;es
124363066;124145241;27/11/15 06:55;antoniaamoraga1;30;not public;es
124380530;124145241;27/11/15 07:07;melena40170393;1287;not public;es
124380529;124145241;27/11/15 07:30;JGarciaAliaga;492;not public;es
124380528;124145241;27/11/15 07:58;rrafaroman;297;not public;es
124380527;124145241;27/11/15 08:23;sevillista_1973;714;sevilla;es
124380526;124145241;27/11/15 08:30;pedromacv;705;not public;es
124380525;124145241;27/11/15 08:33;percentilx;466;not public;es
124422317;124145241;27/11/15 08:34;pedromacv;705;not public;es
124383795;124145241;27/11/15 08:44;eugeniauxia;758;not public;es
124383794;124145241;27/11/15 08:47;mariowozere;50;Madrid, Comunidad de Madrid;es
124386662;124145241;27/11/15 08:54;Sr_Copon;170;not public;es
124401359;124145241;27/11/15 09:40;CGTAena;20882;not public;es
124401358;124145241;27/11/15 09:43;hechuro;70;Spain;es
124401357;124145241;27/11/15 09:43;kaesarboiisss;1443;not public;es
124404387;124145241;27/11/15 09:45;emugor;2052;not public;es
124422316;124145241;27/11/15 09:49;vicarq46;80;en un lugar seguro;es
124404386;124145241;27/11/15 09:56;ErnestoSuidry;2673;Sevilla, Granada;es
124413247;124145241;27/11/15 10:07;i_judithizei;54;not public;es
124422315;124145241;27/11/15 10:48;meliucapc;107;not public;es
124422314;124145241;27/11/15 10:49;RcZalo;2462;Pontevedra, Galicia;es
124422313;124145241;27/11/15 10:49;diagodome;284;Dome–o (Valencia);es
124425924;124145241;27/11/15 10:56;dfedresde;196;not public;es
124430910;124145241;27/11/15 11:03;rafaeles39;119;not public;es
124430909;124145241;27/11/15 11:05;BobEspo19582015;1174;Sevilla, Andaluc’a;es
124430908;124145241;27/11/15 11:06;Insistir;2637;not public;es
124351563;124145241;26/11/15 21:37;pepito_grillo55;2649;Barcelona;es
124351521;124351563;26/11/15 23:43;196193Jose;835;ALCOI (ALACANT);es
124351558;124145241;26/11/15 21:58;logela;4701;Vitoria-Gasteiz, Pa’s Vasco;es
124351519;124351558;26/11/15 23:43;196193Jose;835;ALCOI (ALACANT);es
124351518;124351558;26/11/15 23:45;leo_dulce;304;TENERIFE;es
124351517;124351558;27/11/15 00:11;indignado36;83;not public;es
124191009;124145241;26/11/15 22:28;MDELAO;2863;Murcia, ESPA„A;es
124226352;124191009;26/11/15 23:29;91fa321e7a384ef;257;not public;es
124239411;124191009;26/11/15 23:42;danielrn5;2051;C‡diz, Andaluc’a;es
124239412;124191009;26/11/15 23:44;196193Jose;835;ALCOI (ALACANT);es
124250784;124191009;27/11/15 00:12;indignado36;83;not public;es
124404999;124191009;27/11/15 09:50;Bruno30_Echelon;427;Murcia - Cartagena - Campoamor;es
124351523;124198860;26/11/15 22:51;pintax99;1227;Madrid, Spain;es
124351522;124351523;27/11/15 00:05;mismolen;951;Madrid;es
124145059;;26/11/15 21:32;JavierMaroto;14771;Vitoria-Gasteiz;es
124311372;124145059;26/11/15 22:25;sanz_virginia;207;not public;es
124190979;124145059;26/11/15 22:26;SeoJorgeM;3882;San Pedro del Pinatar;es
124190980;124145059;26/11/15 22:27;manho2110;322;ANDALUCIA;es
124311371;124145059;26/11/15 22:28;amartinpp;56;not public;es
124311370;124145059;26/11/15 22:28;Rajuan47;284;esto va pa calor;es
124311369;124145059;26/11/15 22:29;PriegoPP;902;Cordoba;es
124311368;124145059;26/11/15 22:32;nnggCarabanchel;1665;Madrid;es
124190981;124145059;26/11/15 22:32;morgana61;22;not public;es
124361950;124145059;26/11/15 22:33;galsema_sl;3;not public;es
124311367;124145059;26/11/15 22:33;danielventurari;966;Melilla;es
124311366;124145059;26/11/15 22:34;elisanieto73;2553;M‡laga ,Marbella ,Espa–a;es
124311365;124145059;26/11/15 22:36;alejandroRJ_94;813;Rinc—n de la Victoria;es
124311364;124145059;26/11/15 22:38;acorunapp;1748;A Coru–a;es
124311363;124145059;26/11/15 22:38;ChiquilloBarber;2785;Valencia, CV. ESP.;es
124311362;124145059;26/11/15 22:39;GolpeOlga;47;Galicia, Espa–a;es
124311361;124145059;26/11/15 22:40;mariajesusb2;2042;Madrid-Valencia;es
124311360;124145059;26/11/15 22:43;borjahernando14;70;Madrid, Comunidad de Madrid;es
124311359;124145059;26/11/15 22:52;mguerroi;10;not public;es
124311358;124145059;26/11/15 22:53;luciaguarderia;215;Cadiz;es
124311357;124145059;26/11/15 22:55;mariaabadmullor;710;Ontinyent (Valencia);es
124311356;124145059;26/11/15 23:02;MartaAlanaA;105;Vitoria-Gasteiz, çlava, Espa–a;es
124311355;124145059;26/11/15 23:05;MamenPedemonte;18024;San Fernando-Cadiz;es
124311480;124145059;26/11/15 23:06;nosoypepero;34;not public;es
124311354;124145059;26/11/15 23:09;VAMarcosL;2034;Legan_s;es
124311353;124145059;26/11/15 23:11;ppvelezmalaga;1481;V_lez-M‡laga;es
124311352;124145059;26/11/15 23:11;aortiz086;2234;Daimœs - Alcobendas;es
124311351;124145059;26/11/15 23:12;Coello21;78;Los Molinos;es
124311350;124145059;26/11/15 23:13;TamaraBlasP;461;Madrid, Espa–a;es
124311349;124145059;26/11/15 23:15;jshernaiz;101;Espa–a- Madrid;es
124311348;124145059;26/11/15 23:15;AntonioHLobo;3037;Gran Canaria;es
124311347;124145059;26/11/15 23:15;j_asanchez;15200;Mor_t_ de T_ju–_ (M_drid);es
124311346;124145059;26/11/15 23:16;marionavia;1138;Oviedo;es
124311345;124145059;26/11/15 23:21;pacomarina2;1545;Espa–ol-En paro.;es
124311344;124145059;26/11/15 23:26;alexgarciaNR;734;not public;es
124303117;124145059;26/11/15 23:27;marmarev;1395;madrid;es
124231468;124145059;26/11/15 23:31;CgalisteoJuan;1272;Alcorc—n, Comunidad de Madrid;es
124231467;124145059;26/11/15 23:32;rgomezugalde;3327;SAN SEBASTIAN;es
124231466;124145059;26/11/15 23:34;javiestradag;277;Espa–a;es
124231465;124145059;26/11/15 23:36;BegoGMR;537;Madrid;es
124231464;124145059;26/11/15 23:37;Beatrizxy;489;Madrid;es
124311343;124145059;26/11/15 23:40;PPvasco;3941;Euskadi;es
124311342;124145059;26/11/15 23:42;JavierdAndres;1834;#çlava #Euskadi #Espa–a #UE;es
124311341;124145059;26/11/15 23:42;benja_almansa;1599;Almansa;es
124311340;124145059;26/11/15 23:45;pin_madrid;68;Madrid;es
124311339;124145059;26/11/15 23:46;antonioestebanl;1805;_;es
124311338;124145059;26/11/15 23:47;MargaritaRicoR1;10;Badajoz, Puebla;es
124311337;124145059;27/11/15 00:00;RamonArandaS;2819;San Roque(C‡diz)-Espa–a;es
124311336;124145059;27/11/15 00:03;nnggalmeria;2224;Almer’a;es
124311335;124145059;27/11/15 00:03;CCarreteroManso;148;Simancas;es
124303116;124145059;27/11/15 00:12;oscargamazo;388;not public;es
124303115;124145059;27/11/15 00:15;yolandabartolom;327;not public;es
124278443;124145059;27/11/15 00:17;marazull22;1741;ESPA„A;es
124278442;124145059;27/11/15 00:19;pedrocazorla34;449;not public;es
124278441;124145059;27/11/15 00:25;JuanMi_2910;227;not public;es
124278440;124145059;27/11/15 00:27;josealfonsorg;163;La Coru–a, Galicia;es
124278439;124145059;27/11/15 00:28;seguragc;1169;Madrid Capital del Mundo;es
124278438;124145059;27/11/15 00:38;ROSAMARABEZ;928;Casabermeja - M‡laga;es
124278437;124145059;27/11/15 00:50;cafexpres;1403;not public;es
124278436;124145059;27/11/15 00:51;JorgeMartinRod;57;not public;es
124278435;124145059;27/11/15 01:03;enriquemoresco;3491;El Puerto de Santa Mar’a;es
124278434;124145059;27/11/15 01:04;albamsanta;153;Alcal‡ de Henares;es
124278433;124145059;27/11/15 01:04;lisandroperezg2;1066;San Joaqu’n, Carabobo;es
124278432;124145059;27/11/15 01:08;AlvaroGG97;725;Santander, Cantabria;es
124303114;124145059;27/11/15 01:19;victorhav;263;not public;es
124303113;124145059;27/11/15 01:19;Palencialm1;756;Madrid;es
124311479;124145059;27/11/15 01:25;Cienita100;829;Cerca de Barcelona;es
124303112;124145059;27/11/15 01:30;andresysara10;3349;not public;es
124303111;124145059;27/11/15 01:37;willydalealplay;392;Espa–a|M_xico;es
124303110;124145059;27/11/15 01:57;PPdeTeia;2231;not public;es
124303109;124145059;27/11/15 02:05;DamarisFM;877;La Palma;es
124299570;124145059;27/11/15 02:11;JUANDEALCZAR;32;Barcelona - Espa–a;es
124361949;124145059;27/11/15 06:37;Celinia4;23;not public;es
124361948;124145059;27/11/15 07:03;joaquintorrevie;1058;Alicante;es
124380630;124145059;27/11/15 07:09;cronicas_diary;1537;not public;es
